"scenario","replicate","time_point","method","estimate","se","ci_lower","ci_upper","truth","bias","covers","runtime"
"dep_censor",8,90,"Cox PH",0.00827251108594849,NA,NA,NA,0.00350639332382711,0.00476611776212138,NA,0.81000000000131
"dep_censor",8,180,"TMLE",-0.0717631018017907,0.064899174478779,-0.198965483780197,0.0554392801766161,0.00455831132097525,-0.0763214131227659,1,0.0900000000001455
"dep_censor",8,180,"TMLE-CF",0.0528539851065049,0.171045493961266,-0.282395183057577,0.388103153270587,0.00455831132097525,0.0482956737855296,1,0.219999999997526
"dep_censor",8,180,"AIPW",-0.0480129316748856,0.0632532629695613,-0.171989327095226,0.0759634637454545,0.00455831132097525,-0.0525712429958609,1,0.0800000000017462
"dep_censor",8,180,"IPTW",-0.0179023555708335,0.00718391943044165,-0.0319828376544991,-0.0038218734871679,0.00455831132097525,-0.0224606668918088,0,0.0199999999967986
"dep_censor",8,180,"G-computation",0.0155973803347549,0,0.0155973803347549,0.0155973803347549,0.00455831132097525,0.0110390690137797,0,6.29000000000087
"dep_censor",8,180,"Cox PH",0.0140315899187495,NA,NA,NA,0.00455831132097525,0.0094732785977743,NA,1.53000000000247
"dep_censor",9,90,"TMLE",0.00527529787624286,0.0033430822071826,-0.00127714324983503,0.0118277390023208,0.00350639332382711,0.00176890455241575,1,0.110000000000582
"dep_censor",9,90,"TMLE-CF",-2.73599204454896e-08,0.0377380776563437,-0.073966659566354,0.0739666048465131,0.00350639332382711,-0.00350642068374756,1,0.44999999999709
"dep_censor",9,90,"AIPW",1.69830034184122e-05,0.00023012691571813,-0.000434065751389122,0.000468031758225947,0.00350639332382711,-0.0034894103204087,0,0.100000000002183
"dep_censor",9,90,"IPTW",0.0203630200594522,0.0033081677241861,0.0138790113200475,0.026847028798857,0.00350639332382711,0.0168566267356251,0,0.0100000000020373
"dep_censor",9,90,"G-computation",7.44867104975067e-09,1.87118292342778e-26,7.44867104975067e-09,7.44867104975067e-09,0.00350639332382711,-0.00350638587515606,0,8.2699999999968
"dep_censor",9,90,"Cox PH",0,NA,NA,NA,0.00350639332382711,-0.00350639332382711,NA,0.650000000001455
"dep_censor",9,180,"TMLE",0.00120298858718273,0.00068121533910094,-0.000132193477455115,0.00253817065182057,0.00455831132097525,-0.00335532273379252,0,0.0799999999981083
